년도,인천청,중부,미추홀,남동,부평,서부,계양,강화,연수,삼산,논현
2004,3,7,2,4,11,5,2,0,0,0,0
2005,61,16,8,23,21,6,4,1,3,0,0
2006,781,208,8,23,13,11,17,2,30,0,0
2007,204,29,39,70,67,18,12,1,32,1,0
2008,815,35,56,30,329,22,100,0,330,41,0
2009,3580,85,119,40,603,15,67,0,154,102,0
2010,80,120,61,46,18,12,21,3,22,57,0
2011,35,17,56,17,16,25,14,0,8,22,0
2012,47,8,22,13,8,20,15,1,8,5,0
2013,381,8,16,17,6,11,11,1,12,8,0
2014,245,18,95,35,22,21,41,0,29,15,0
2015,114,32,49,28,39,69,55,0,32,21,0
2016,132,43,33,51,89,86,59,1,27,40,0
2017,815,67,52,76,42,107,51,1,34,42,1
2018,193,323,43,15,46,41,41,2,54,30,20
2019,98,194,50,15,23,18,15,0,18,11,21
2020,37,18,11,14,14,23,9,0,14,18,11
2021,112,6,8,12,5,28,8,0,11,12,4
2022,76,7,16,16,5,20,8,0,10,12,11
